Indiv_ID,Sex,Life_Stage,SVL (mm),SVL_cm,Mass_g,CEWL_g_m2h,Pregnant,Plasma_Osmol_Rep_mean,Tb_at_CEWL,CEWL_Blood_Collect_Date,Region,msmt_temp_C,msmt_RM_percent,,,,
PWPu,F,adult,729,72.9,267.4,7.81,Y,387.5,23.5,5/31/21,dorsal dark,21.7,28.1,,,,
PWR,F,adult,736,73.6,373.4,2.81,Y,418,18,5/23/21,dorsal dark,20,25,,,,
R1,F,adult,845,84.5,340.6,7.926666667,N,NA,22.5,5/30/21,dorsal dark,21,33,,,,
RBA,F,adult,866,86.6,555.1,6.323333333,Y,NA,17,5/26/21,dorsal dark,13.2,46.1,,,,
RBP,F,adult,868,86.8,325.6,2.62,N,383.5,22.5,5/28/21,dorsal dark,21.9,24.2,,,,
RBW,F,adult,835,83.5,356.6,6.21,Y,379.5,18,5/23/21,dorsal dark,19.7,24.2,,,,
RGR,F,adult,770,77,259.8,8.473333333,N,444,22,5/29/21,dorsal dark,19,32,,,,
RPA,F,adult,723,72.3,248.4,9.636666667,N,402.3333333,17,5/26/21,dorsal dark,14.1,43.7,,,,
RWA,F,adult,620,62,145,4.263333333,N,391.5,20,5/26/21,dorsal dark,18.6,33.7,,,,
RYA,F,adult,609,60.9,128.6,6.7,N,397,21,5/26/21,dorsal dark,19.6,27.7,,,,
RYG,F,adult,748,74.8,282,5.286666667,N,NA,25,5/29/21,dorsal dark,23.1,28.8,,,,
WBR,F,adult,825,82.5,283,2.673333333,N,370.3333333,22,5/27/21,dorsal dark,19.8,25,,,,
WGA,F,adult,674,67.4,190.5,4.103333333,N,NA,22,5/27/21,dorsal dark,20.8,22.5,,,,
WGG,F,adult,843,84.3,323.6,3.543333333,N,403.5,22,5/27/21,dorsal dark,20.8,25.1,,,,
WGPu,F,adult,681,68.1,223.6,6.746666667,N,363.5,24,5/31/21,dorsal dark,21.5,29.4,,,,
WPPu,F,adult,NA,NA,NA,5.373333333,Y,460,25,6/1/21,dorsal dark,23.1,24.1,,,,
WPuA,F,adult,765,76.5,307.3,3.466666667,N,394,25,5/28/21,dorsal dark,24,21.5,,,,
WPuW,F,adult,812,81.2,434.2,6.9,Y,384.5,23,6/1/21,dorsal dark,22.1,28.7,,,,
WRA,F,adult,679,67.9,278.1,4.465,N,376.6666667,27,5/28/21,dorsal dark,23.8,23.6,,,,
WWA,F,adult,954,95.4,464.1,9.41,N,385,22.5,5/30/21,dorsal dark,20.9,36,,,,
WWB,F,adult,763,76.3,336.7,2.173333333,N,405.5,22.5,5/27/21,dorsal dark,19.6,24.7,,,,
WWG,F,adult,1011,101.1,524.1,6.22,N,363,24.5,5/28/21,dorsal dark,23.1,21.9,,,,
WYA,F,adult,531,53.1,93,5.466666667,N,403.6666667,25,5/29/21,dorsal dark,20.1,27.9,,,,
YBP,M,adult,1025,102.5,729.7,7.295,NA,416,24.5,5/31/21,dorsal dark,22.1,27.5,,,,
